# contact impulse 0x13661c: case mu e c | v | K (3x3) | Kinv (3x3) | P
random23 0 0.00396851776 1 | -19.5842876 -14.1418219 -27.5678921 | 0.0186813623 -0.000407351094 -0.00781196542 -0.000407351094 0.0238933507 0.0127424896 -0.00781196542 0.0127424896 0.0318354629 | 61.0840225 -8.83925247 18.5271492 -8.83925247 54.4903107 -23.9793644 18.5271492 -23.9793644 45.555809 | 0 0 869.385681
random24 0.807214081 0.0556209423 0.5 | -29.0788364 16.7403221 -26.7873631 | 0.0226334576 0.0190457664 -0.0155165745 0.0190457664 0.0671410337 -0.060944695 -0.0155165745 -0.060944695 0.0857275277 | 58.3853722 -19.6496029 -3.40145135 -19.6496029 48.6038704 30.9965038 -3.40145135 30.9965038 33.08498 | 251.518585 -72.0817719 324.131622
random25 0 0.781439602 0.5 | 26.344862 7.89272213 -15.9999285 | 0.0514771268 -0.0179136619 -0.0270607732 -0.0179136619 0.0788671151 0.0122513939 -0.0270607732 0.0122513939 0.0562258586 | 27.3538876 4.3140192 12.2250614 4.3140192 13.8041458 -0.931587934 12.2250614 -0.931587934 23.8721638 | 0 0 506.935883
random26 0.798576355 0.469305843 0.5 | 7.21157312 1.88205063 -9.52556896 | 0.0753615722 -0.0424316823 -0.0280042179 -0.0424316823 0.0905508175 0.0715436041 -0.0280042179 0.0715436041 0.0960530117 | 18.2791309 10.5826797 -2.55307174 10.5826797 32.9633408 -21.4668598 -2.55307174 -21.4668598 25.6558304 | -88.0289459 -171.420242 247.725861
random27 0 0.0756644458 0.579453349 | 4.77777672 -27.4851665 -2.8066709 | 0.0607245378 -0.0327405594 -0.0245381091 -0.0327405594 0.0691808537 0.0670085624 -0.0245381091 0.0670085624 0.0827965215 | 23.6111202 20.3445644 -9.46764088 20.3445644 84.4207153 -62.2936058 -9.46764088 -62.2936058 59.6871338 | 0 0 36.4633179
random28 0 0.824826598 0.52729255 | 10.9204111 -20.5122814 -20.1043243 | 0.0242709648 0.0174260512 -0.0077727125 0.0174260512 0.0558804683 0.00332497875 -0.0077727125 0.00332497875 0.0439321846 | 58.6091461 -18.9794464 11.8058844 -18.9794464 24.1224232 -5.18363285 11.8058844 -5.18363285 25.2434349 | 0 0 835.080383
random29 0 0.958817482 1 | -2.64159179 20.1932697 -24.7455978 | 0.0685180724 -0.00350079034 0.0241642501 -0.00350079034 0.0820580125 0.01090007 0.0241642501 0.01090007 0.0553806685 | 17.5065842 1.8088336 -7.99466515 1.8088336 12.7005577 -3.28898287 -7.99466515 -3.28898287 22.1924953 | 0 0 875.253235
random30 0.399104774 0.343598902 1 | 7.8358016 -8.28101635 -21.0934772 | 0.0427750796 0.00194118405 0.0076305843 0.00194118405 0.0600565039 -0.0168116521 0.0076305843 -0.0168116521 0.0850340426 | 23.8774204 -1.451931 -2.42970967 -1.451931 17.7147903 3.63259172 -2.42970967 3.63259172 12.696209 | -105.496635 98.8915558 362.310211
random31 0 0.998664856 1.07040334 | -11.016923 -9.326231 -23.9270821 | 0.0525217652 -0.0236434676 -0.0206507985 -0.0236434676 0.02770935 0.00439704489 -0.0206507985 0.00439704489 0.020051986 | 56.8425674 40.6261292 49.6314659 40.6261292 66.425972 27.2733078 49.6314659 27.2733078 95.0034332 | 0 0 2384.91162
random32 0 0.0905187279 0 | -8.12854767 -17.1552792 -2.49311066 | 0.0801099762 0.0204418395 0.0466939434 0.0204418395 0.0352984332 0.0384231694 0.0466939434 0.0384231694 0.100282654 | 17.2259655 -2.1356945 -7.20252323 -2.1356945 48.8635712 -17.7275848 -7.20252323 -17.7275848 20.1177788 | 0 0 27.1112061
random33 1.15448833 0.256953299 1 | -17.0590935 -29.6652393 -8.53278446 | 0.0392757431 -0.0107775517 0.013944082 -0.0107775517 0.0504217595 -0.0204976033 0.013944082 -0.0204976033 0.0253264047 | 31.6547279 -0.475222617 -17.8129139 -0.475222617 29.5647011 24.1894588 -17.8129139 24.1894588 68.8692551 | 373.909607 1075.34045 1087.93115
random34 0 0.540985942 0.5 | -24.6623383 -24.7427006 -23.8324585 | 0.0465035997 -0.00507151103 -0.0151988752 -0.00507151103 0.0473103151 0.0408133343 -0.0151988752 0.0408133343 0.0887256712 | 22.846262 -1.53706563 4.62064981 -1.53706563 35.1463737 -16.4304466 4.62064981 -16.4304466 19.6201382 | 0 0 413.921722
random35 0 0.850337446 0.457455754 | -10.9675817 -16.5622406 -16.5064888 | 0.0762777254 0.0349051654 0.0217756592 0.0349051654 0.0764546469 0.0483548418 0.0217756592 0.0483548418 0.0699413344 | 16.5728722 -7.64635897 0.126581043 -7.64635897 26.7707539 -16.1276741 0.126581043 -16.1276741 25.4083633 | 0 0 436.688477
random36 0 0.960088909 0.5 | -21.4241734 19.0786228 -14.7494631 | 0.056559857 -0.0101936711 -0.0121559212 -0.0101936711 0.0353438444 -0.0178901441 -0.0121559212 -0.0178901441 0.0639016703 | 20.7671165 9.30825043 6.55646992 9.30825043 37.1370964 12.1677313 6.55646992 12.1677313 20.3027935 | 0 0 452.417908
random37 0.080004476 0.937839806 0.838547111 | 5.92740154 -15.6722479 -11.6789503 | 0.0698720738 -0.0370228775 0.0213936996 -0.0370228775 0.0605842844 -0.0194189977 0.0213936996 -0.0194189977 0.0486263297 | 22.1694908 11.9511557 -4.98100424 11.9511557 25.371542 4.87411785 -4.98100424 4.87411785 24.7029247 | -0.228491411 38.4726868 480.890167
random38 0.268213719 0.0381834172 1 | -3.92590356 -7.64851809 -20.7575359 | 0.0570899509 0.00833704136 0.00368565274 0.00833704136 0.038561698 -0.0130481366 0.00368565274 -0.0130481366 0.045525901 | 18.4305763 -4.9717288 -2.91703176 -4.9717288 30.0586357 9.01757622 -2.91703176 9.01757622 24.7861919 | -9.06327152 137.423981 513.48053
random39 0 0.066429317 0.5 | -10.3040724 27.2537975 -5.70726204 | 0.0694115236 -0.0250388347 0.00762036955 -0.0250388347 0.073003456 -0.0201876517 0.00762036955 -0.0201876517 0.0679215789 | 16.4430714 5.58887577 -0.183682546 5.58887577 16.8242588 4.37346983 -0.183682546 4.37346983 16.0433521 | 0 0 89.609108
random40 0.535292745 0.907093704 0.650042534 | 12.0191422 0.977249503 -8.16656303 | 0.0273517463 0.0107263383 -0.00732679525 0.0107263383 0.0332766883 -0.0018187681 -0.00732679525 -0.0018187681 0.0364667177 | 44.160038 -13.7871017 8.18488789 -13.7871017 34.4376488 -1.0524987 8.18488789 -1.0524987 29.0142574 | -201.049347 55.1037598 389.439392
random41 1.18853998 0.474201828 1 | 17.1335697 -26.7207489 -2.45465326 | 0.0680054426 0.0247561261 0.00202237745 0.0247561261 0.0610753372 -0.00628514774 0.00202237745 -0.00628514774 0.0182487164 | 17.6104851 -7.6087079 -4.5722065 -7.6087079 20.262249 7.82185984 -4.5722065 7.82185984 57.999054 | -237.789322 318.265961 334.264771
random42 0 0.12318182 0 | 28.3843479 -25.4625702 -10.1527872 | 0.0754526407 0.00444069225 0.0257623997 0.00444069225 0.0237027295 0.00104539411 0.0257623997 0.00104539411 0.0615344308 | 15.6273842 -2.6412003 -6.49779034 -2.6412003 42.6672592 0.380917668 -6.49779034 0.380917668 18.9650002 | 0 0 185.317825
random43 0.707951784 0.0610248223 0 | 0.697418749 -21.0549316 -28.00173 | 0.0547913499 0.0196882896 0.00489487173 0.0196882896 0.0499774069 0.0310069323 0.00489487173 0.0310069323 0.05602194 | 21.940134 -11.3519726 4.36606979 -11.3519726 36.3467674 -19.1252804 4.36606979 -19.1252804 28.0540962 | 0 0 530.337402
random44 0 0.536754966 0.5 | 24.8279724 -0.00629834039 -3.67031693 | 0.0634111837 0.000730703585 -0.0136545729 0.000730703585 0.0686636269 -0.00866332743 -0.0136545729 -0.00866332743 0.0258623287 | 17.8643703 1.04404235 9.78161049 1.04404235 15.2674599 5.6654973 9.78161049 5.6654973 45.7285118 | 0 0 218.092422
random45 0 0.364400238 0 | -23.889677 -4.65506697 -2.17515588 | 0.103596963 -0.00935609825 0.0370193832 -0.00935609825 0.0786348581 0.000379725156 0.0370193832 0.000379725156 0.0439760983 | 14.0364332 1.72720766 -11.8308802 1.72720766 12.9300728 -1.565624 -11.8308802 -1.565624 32.7124596 | 0 0 67.4862823
random46 0 0.217107475 1 | 12.7654476 16.5433083 -0.180742711 | 0.0368505903 -0.00617708825 -0.0288246665 -0.00617708825 0.015787011 -0.00328829559 -0.0288246665 -0.00328829559 0.0666075423 | 48.356411 23.5213909 22.0876293 23.5213909 75.442543 13.9034357 22.0876293 13.9034357 25.2582073 | 0 0 3.30267882
random47 0.896559417 0.0432521701 0.5 | 12.4044571 -11.4389668 -26.5720348 | 0.0315646827 -0.000655886543 0.00809456222 -0.000655886543 0.0138204331 0.000864811242 0.00809456222 0.000864811242 0.0343726352 | 33.7781754 2.10410428 -8.00750923 2.10410428 72.601799 -2.32215691 -8.00750923 -2.32215691 31.0370598 | -303.853485 371.342438 868.707153
random48 0 0.402338773 1 | -12.4722395 -21.5488453 -12.3954239 | 0.045709528 0.0171677228 0.010089431 0.0171677228 0.0662474856 0.0119484188 0.010089431 0.0119484188 0.0247241259 | 25.5795097 -5.19930363 -7.92583084 -5.19930363 17.5930691 -6.38046217 -7.92583084 -6.38046217 46.764183 | 0 0 703.061584
random49 1.0256294 0.885727763 0.5 | -13.781642 6.53288651 -7.05260849 | 0.0175106972 -0.0107678073 0.0159088187 -0.0107678073 0.0344753712 0.0015557179 0.0159088187 0.0015557179 0.0763965696 | 94.1087418 30.3054771 -20.2143326 30.3054771 38.7920494 -7.10076189 -20.2143326 -7.10076189 17.4436226 | 145.968552 17.4223747 143.331146
random50 0 0.139263183 0.5 | 12.9045067 -18.0229836 -11.9435253 | 0.117719002 0.0262137633 -0.019844925 0.0262137633 0.0608176775 -0.039593067 -0.019844925 -0.039593067 0.0652390048 | 9.41402149 -3.62600613 0.663036466 -3.62600613 28.5787144 16.2412224 0.663036466 16.2412224 25.3866177 | 0 0 208.568756
random51 0 0.754204273 0.306340814 | 28.0880527 1.57171118 -5.73242903 | 0.0706590638 0.0294289161 0.0110829137 0.0294289161 0.0794139728 -0.0138173969 0.0110829137 -0.0138173969 0.0474773832 | 18.543066 -8.03144932 -6.66601467 -8.03144932 16.7425022 6.74741602 -6.66601467 6.74741602 24.5824547 | 0 0 211.802979
random52 0.223871395 0.275851011 0.887488604 | 18.0512924 26.2293949 -26.4856892 | 0.0330880322 0.00268719788 0.00304738036 0.00268719788 0.0742025971 -0.0161300506 0.00304738036 -0.0161300506 0.0413349234 | 30.6352901 -1.74873972 -2.94096684 -1.74873972 14.8255854 5.91428518 -2.94096684 5.91428518 26.7173576 | -170.941895 -58.6299477 807.235413
random53 0 0.836871743 0.5 | 18.1257973 0.609950423 -3.09721279 | 0.05364196 -0.0265564248 0.0319877937 -0.0265564248 0.0743850395 -0.0409406424 0.0319877937 -0.0409406424 0.093382217 | 25.0616093 5.56526566 -6.14485359 5.56526566 18.9550781 6.40392303 -6.14485359 6.40392303 15.6211863 | 0 0 60.9236221
random54 0 0.326262236 0 | 15.0073614 9.86964226 -25.3954468 | 0.0304267406 0.00154366379 -0.000521967537 0.00154366379 0.0359941982 -0.00368789886 -0.000521967537 -0.00368789886 0.0296240319 | 32.9424019 -1.37079716 0.409785658 -1.37079716 28.1982384 3.48624849 0.409785658 3.48624849 34.1976013 | 0 0 1136.94934
random55 0.890775442 0.69897753 0 | -13.1982307 -10.9940653 -22.7919941 | 0.0381484404 0.0153021626 -0.0141217541 0.0153021626 0.0528965294 -0.00482420018 -0.0141217541 -0.00482420018 0.0816432461 | 31.518589 -8.66735458 4.93959665 -8.66735458 21.3907127 -0.23523283 4.93959665 -0.23523283 13.0889082 | 0 0 474.296265
random56 0.89899826 0.045016665 0.724331021 | -0.730302632 -5.31528091 -1.184273 | 0.0604188778 -0.000654310395 -0.00303848879 -0.000654310395 0.0205385555 0.00602526916 -0.00303848879 0.00602526916 0.0302273147 | 16.6352482 0.0418450981 1.66385555 0.0418450981 51.713028 -10.3038511 1.66385555 -10.3038511 35.3037987 | 1.70907462 31.3052845 34.8742599
random57 0 0.809519827 1 | -25.3228436 -28.6272488 -21.0336094 | 0.0470899343 -0.00528887007 0.00435882434 -0.00528887007 0.0282559469 -0.00201885658 0.00435882434 -0.00201885658 0.0151596731 | 22.2002506 3.73484707 -5.88580418 3.73484707 36.3590889 3.76817131 -5.88580418 3.76817131 68.1586304 | 0 0 2510.65649
random58 0.422359079 0.95525378 0.889929831 | 5.82429647 29.2899952 -8.11666965 | 0.0721064359 0.00736973481 0.0485127121 0.00736973481 0.0405463539 0.0151529433 0.0485127121 0.0151529433 0.0590640418 | 31.6884708 4.38799143 -27.1533184 4.38799143 27.8861599 -10.7583351 -27.1533184 -10.7583351 41.9934273 | -77.0206985 -134.218994 366.389526
random59 0.446065992 0.958809733 0 | 11.2909431 -27.0654259 -20.6606846 | 0.0629800111 0.0299561676 -0.0307185221 0.0299561676 0.081722416 -0.0352636799 -0.0307185221 -0.0352636799 0.05966736 | 22.2828293 -4.31935024 8.91910458 -4.31935024 17.2626438 7.97857141 8.91910458 7.97857141 26.0667725 | 0 0 678.266174
