# Battlezone PSP golden tank traces from HoverTank::drive 0x954a0 run under emulation.
# state fields: right3 up3 at3 pos3 vel3 omega3 probeT4 probeIndex airborne tooSteep steerHold steerDir maxFwdSpeed nitroMeter nitroMult nitroDuration nitroEngaged nitroForced nitroOverspeedTimer lastFwdSpeed slowed slowFactor dead
# line: scenario tick dt steer throttle strafe boost ground | pre... | post...
idle_medium 1 10 0.03333333333333333 0 0 0 0 0:0 | 0.999998987 0.00143458869 -9.57178941e-07 -0.00143458834 0.999997735 -0.00158697658 -1.31948195e-06 0.00158697634 0.999998748 -0.000194730645 7.65229893 0.000548182521 -0.000957018347 4.61737251 0.00404238235 0.105738454 0 0.0469942018 0.733084917 0.750887334 0.692499042 0.713364601 2 0 0 0 0 68 1 1 1 0 0 0 0.0327559114 0 1 0 | 0.999998987 0.00143458869 -9.57178941e-07 -0.00143458834 0.999997735 -0.00158697658 -1.31948195e-06 0.00158697634 0.999998748 -0.000194730645 7.65229893 0.000548182521 -0.00123043661 4.90282393 0.00411105715 0.0852686241 0 -0.0330623947 0.733084917 0.750887334 0.765199423 0.713364601 3 0 0 0 0 68 1 1 1 0 0 0 0.011891719 0 1 0
idle_medium 1 11 0.03333333333333333 0 0 0 0 0:0 | 0.99999994 0.000332507654 1.55412101e-06 -0.000332509342 0.999999166 0.00125530863 -1.1367199e-06 -0.00125530909 0.999999225 -0.000235745203 7.78239298 0.000685217732 -0.00123043661 3.90282393 0.00411105715 0.0852686241 0 -0.0330623947 0.733084917 0.750887334 0.765199423 0.713364601 3 0 0 0 0 68 1 1 1 0 0 0 0.011891719 0 1 0 | 0.99999994 0.000332507654 1.55412101e-06 -0.000332509342 0.999999166 0.00125530863 -1.1367199e-06 -0.00125530909 0.999999225 -0.000235745203 7.78239298 0.000685217732 -0.00114394468 4.14352989 0.00380441872 -0.0477601551 0 0.0324330293 0.733084917 0.750887334 0.765199423 0.778423905 0 0 0 0 0 68 1 1 1 0 0 0 -0.00139699364 0 1 0
idle_medium 1 12 0.03333333333333333 0 0 0 0 0:0 | 0.999998987 0.00141360972 1.64206526e-07 -0.0014136096 0.999998927 -0.000336695521 -6.40162398e-07 0.000336694939 0.99999994 -0.000273876707 7.88717747 0.000812031678 -0.00114394468 3.14352989 0.00380441872 -0.0477601551 0 0.0324330293 0.733084917 0.750887334 0.765199423 0.778423905 0 0 0 0 0 68 1 1 1 0 0 0 -0.00139699364 0 1 0 | 0.999998987 0.00141360972 1.64206526e-07 -0.0014136096 0.999998927 -0.000336695521 -6.40162398e-07 0.000336694939 0.99999994 -0.000273876707 7.88717747 0.000812031678 -0.00128454436 3.37292004 0.00363447005 -0.0400660075 0 -0.020131832 0.789067805 0.750887334 0.765199423 0.778423905 1 0 0 0 0 68 1 1 1 0 0 0 0.00477011595 0 1 0
idle_medium 1 13 0.03333333333333333 0 0 0 0 0:0 | 0.999999702 0.000742548262 -1.27560452e-06 -0.000742549368 0.999998331 -0.00167222752 3.38927109e-08 0.00167222798 0.999998629 -0.000316694845 7.96627474 0.00093318068 -0.00128454436 2.37292004 0.00363447005 -0.0400660075 0 -0.020131832 0.789067805 0.750887334 0.765199423 0.778423905 1 0 0 0 0 68 1 1 1 0 0 0 0.00477011595 0 1 0 | 0.999999702 0.000742548262 -1.27560452e-06 -0.000742549368 0.999998331 -0.00167222752 3.38927109e-08 0.00167222798 0.999998629 -0.000316694845 7.96627474 0.00093318068 -0.00124187372 2.6201489 0.00357100624 0.0399316438 0 0.0194963496 0.789067805 0.796813369 0.765199423 0.778423905 2 0 0 0 0 68 1 1 1 0 0 0 0.00795248803 0 1 0
idle_medium 1 14 0.03333333333333333 0 0 0 0 0:0 | 0.999999046 0.00139242702 1.45280382e-07 -0.0013924269 0.999998987 -0.000341174222 -6.20340415e-07 0.000341173669 0.99999994 -0.000358090649 8.02027988 0.00105221418 -0.00124187372 1.6201489 0.00357100624 0.0399316438 0 0.0194963496 0.789067805 0.796813369 0.765199423 0.778423905 2 0 0 0 0 68 1 1 1 0 0 0 0.00795248803 0 1 0 | 0.999999046 0.00139242702 1.45280382e-07 -0.0013924269 0.999998987 -0.000341174222 -6.20340415e-07 0.000341173669 0.99999994 -0.000358090649 8.02027988 0.00105221418 -0.00128177495 1.903988 0.0033895527 0.0354286321 0 -0.0117178205 0.789067805 0.796813369 0.802238286 0.778423905 3 0 0 0 0 68 1 1 1 0 0 0 0.00403914368 0 1 0
idle_medium 1 15 0.03333333333333333 0 0 0 0 0:0 | 0.999999523 0.00100183219 1.55903604e-06 -0.00100183312 0.999999166 0.000839779212 -7.1771683e-07 -0.000839780376 0.999999642 -0.000400816469 8.05041313 0.00116519933 -0.00128177495 0.903988004 0.0033895527 0.0354286321 0 -0.0117178205 0.789067805 0.796813369 0.802238286 0.778423905 3 0 0 0 0 68 1 1 1 0 0 0 0.00403914368 0 1 0 | 0.999999523 0.00100183219 1.55903604e-06 -0.00100183312 0.999999166 0.000839779212 -7.1771683e-07 -0.000839780376 0.999999642 -0.000400816469 8.05041313 0.00116519933 -0.00123326213 1.24230134 0.00319452514 -0.00762715843 0 0.00729225203 0.789067805 0.796813369 0.802238286 0.805008888 0 0 0 0 0 68 1 1 1 0 0 0 0.00215126458 0 1 0
idle_medium 1 16 0.03333333333333333 0 0 0 0 0:0 | 0.999999225 0.00124490738 1.27343208e-06 -0.00124490797 0.999999046 0.000585540838 -5.44486682e-07 -0.000585542002 0.999999821 -0.000441925193 8.0584898 0.00127168349 -0.00123326213 0.242301345 0.00319452514 -0.00762715843 0 0.00729225203 0.789067805 0.796813369 0.802238286 0.805008888 0 0 0 0 0 68 1 1 1 0 0 0 0.00215126458 0 1 0 | 0.999999225 0.00124490738 1.27343208e-06 -0.00124490797 0.999999046 0.000585540838 -5.44486682e-07 -0.000585542002 0.999999821 -0.000441925193 8.0584898 0.00127168349 -0.00119616464 0.643504441 0.00303238281 -0.0117008928 0 -0.00466114283 0.805980861 0.796813369 0.802238286 0.805008888 1 0 0 0 0 68 1 1 1 0 0 0 0.00265558413 0 1 0
idle_medium 1 17 0.03333333333333333 0 0 0 0 0:0 | 0.999999404 0.00108953658 8.18180752e-07 -0.0010895367 0.999999404 0.000195511413 -6.0516345e-07 -0.000195512184 1 -0.000481797353 8.04660702 0.00137276296 -0.00119616464 -0.356495559 0.00303238281 -0.0117008928 0 -0.00466114283 0.805980861 0.796813369 0.802238286 0.805008888 1 0 0 0 0 68 1 1 1 0 0 0 0.00265558413 0 1 0 | 0.999999404 0.00108953658 8.18180752e-07 -0.0010895367 0.999999404 0.000195511413 -6.0516345e-07 -0.000195512184 1 -0.000481797353 8.04660702 0.00137276296 -0.00113001815 0.120774023 0.00287596555 -0.00344920903 0 -0.00173209445 0.805980861 0.804403663 0.802238286 0.805008888 2 0 0 0 0 68 1 1 1 0 0 0 0.0028523535 0 1 0
idle_medium 1 18 0.03333333333333333 0 0 0 0 0:0 | 0.999999464 0.00103180017 6.96231837e-07 -0.00103180029 0.999999464 8.05378368e-05 -6.13132556e-07 -8.05385134e-05 1 -0.000519464607 8.01729965 0.00146862853 -0.00113001815 -0.879225969 0.00287596555 -0.00344920903 0 -0.00173209445 0.805980861 0.804403663 0.802238286 0.805008888 2 0 0 0 0 68 1 1 1 0 0 0 0.0028523535 0 1 0 | 0.999999464 0.00103180017 6.96231837e-07 -0.00103180029 0.999999464 8.05378368e-05 -6.13132556e-07 -8.05385134e-05 1 -0.000519464607 8.01729965 0.00146862853 -0.0010542057 -0.326999784 0.00272405194 0.00249153795 0 0.000643297157 0.805980861 0.804403663 0.801952481 0.805008888 3 0 0 0 0 68 1 1 1 0 0 0 0.00275038858 0 1 0
idle_medium 1 19 0.03333333333333333 0 0 0 0 0:0 | 0.999999464 0.00105324341 7.82814652e-07 -0.00105324353 0.999999404 0.000163589051 -6.10515087e-07 -0.000163589793 1 -0.000554604805 7.97306633 0.00155943027 -0.0010542057 -1.32699978 0.00272405194 0.00249153795 0 0.000643297157 0.805980861 0.804403663 0.801952481 0.805008888 3 0 0 0 0 68 1 1 1 0 0 0 0.00275038858 0 1 0 | 0.999999464 0.00105324341 7.82814652e-07 -0.00105324353 0.999999404 0.000163589051 -6.10515087e-07 -0.000163589793 1 -0.000554604805 7.97306633 0.00155943027 -0.000976068957 -0.693597794 0.00259062345 0.0176677573 0 -0.00901981723 0.805980861 0.804403663 0.801952481 0.797128737 0 0 0 0 0 68 1 1 1 0 0 0 0.00270408951 0 1 0
idle_medium 1 20 0.03333333333333333 0 0 0 0 0:0 | 0.999999702 0.000752582389 1.31456284e-06 -0.000752583146 0.999999404 0.000752513995 -7.48233333e-07 -0.000752514752 0.999999702 -0.000587140443 7.9166131 0.00164578436 -0.000976068957 -1.69359779 0.00259062345 0.0176677573 0 -0.00901981723 0.805980861 0.804403663 0.801952481 0.797128737 0 0 0 0 0 68 1 1 1 0 0 0 0.00270408951 0 1 0 | 0.999999702 0.000752582389 1.31456284e-06 -0.000752583146 0.999999404 0.000752513995 -7.48233333e-07 -0.000752514752 0.999999702 -0.000587140443 7.9166131 0.00164578436 -0.000882932742 -0.9802472 0.00253772782 0.00695444923 0 0.00528348004 0.791661322 0.804403663 0.801952481 0.797128737 1 0 0 0 0 68 1 1 1 0 0 0 0.00327537814 0 1 0
idle_medium 1 21 0.03333333333333333 0 0 0 0 0:0 | 0.999999583 0.000928697991 1.50943583e-06 -0.000928699039 0.999999106 0.000984328799 -5.9529026e-07 -0.00098432973 0.999999523 -0.000616571517 7.85060501 0.00173037534 -0.000882932742 -1.98024726 0.00253772782 0.00695444923 0 0.00528348004 0.791661322 0.804403663 0.801952481 0.797128737 1 0 0 0 0 68 1 1 1 0 0 0 0.00327537814 0 1 0 | 0.999999583 0.000928697991 1.50943583e-06 -0.000928699039 0.999999106 0.000984328799 -5.9529026e-07 -0.00098432973 0.999999523 -0.000616571517 7.85060501 0.00173037534 -0.000808397657 -1.17999542 0.00252995268 -0.0293167979 0 -0.0142936241 0.791661322 0.784677863 0.801952481 0.797128737 2 0 0 0 0 68 1 1 1 0 0 0 0.00369145651 0 1 0
idle_medium 1 22 0.03333333333333333 0 0 0 0 0:0 | 0.999999881 0.000452245062 8.34688535e-07 -0.000452245091 0.999999881 7.10255154e-06 -8.3147637e-07 -7.10292807e-06 1 -0.000643518113 7.77793837 0.00181470707 -0.000808397657 -2.17999554 0.00252995268 -0.0293167979 0 -0.0142936241 0.791661322 0.784677863 0.801952481 0.797128737 2 0 0 0 0 68 1 1 1 0 0 0 0.00369145651 0 1 0 | 0.999999881 0.000452245062 8.34688535e-07 -0.000452245091 0.999999881 7.10255154e-06 -8.3147637e-07 -7.10292807e-06 1 -0.000643518113 7.77793837 0.00181470707 -0.000720515964 -1.30071402 0.0023914678 -0.0169550143 0 0.00904930662 0.791661322 0.784677863 0.777885735 0.797128737 3 0 0 0 0 68 1 1 1 0 0 0 0.00240070722 0 1 0
idle_medium 1 23 0.03333333333333333 0 0 0 0 0:0 | 0.999999702 0.000753888977 4.93854884e-07 -0.000753888569 0.999999583 -0.000558064436 -9.14573263e-07 0.000558063912 0.999999821 -0.000667535292 7.70124769 0.00189442269 -0.000720515964 -2.30071402 0.0023914678 -0.0169550143 0 0.00904930662 0.791661322 0.784677863 0.777885735 0.797128737 3 0 0 0 0 68 1 1 1 0 0 0 0.00240070722 0 1 0 | 0.999999702 0.000753888977 4.93854884e-07 -0.000753888569 0.999999583 -0.000558064436 -9.14573263e-07 0.000558063912 0.999999821 -0.000667535292 7.70124769 0.00189442269 -0.00066354865 -1.33644009 0.00217315718 0.0337824635 0 -0.0178068485 0.791661322 0.784677863 0.777885735 0.769862354 0 0 0 0 0 68 1 1 1 0 0 0 0.00142733846 0 1 0
idle_medium 1 24 0.03333333333333333 0 0 0 0 0:0 | 1 0.000160326497 1.00859575e-06 -0.000160327036 0.999999821 0.00056801748 -9.17527359e-07 -0.000568017596 0.999999821 -0.000689653563 7.62336636 0.00196686131 -0.00066354865 -2.33644009 0.00217315718 0.0337824635 0 -0.0178068485 0.791661322 0.784677863 0.777885735 0.769862354 0 0 0 0 0 68 1 1 1 0 0 0 0.00142733846 0 1 0 | 1 0.000160326497 1.00859575e-06 -0.000160327036 0.999999821 0.00056801748 -9.17527359e-07 -0.000568017596 0.999999821 -0.000689653563 7.62336636 0.00196686131 -0.000583251647 -1.2965281 0.00214460446 0.0202444941 0 0.0114941197 0.762255073 0.784677863 0.777885735 0.769862354 1 0 0 0 0 68 1 1 1 0 0 0 0.00288105546 0 1 0
idle_medium 1 25 0.03333333333333333 0 0 0 0 0:0 | 0.999999881 0.000543463044 1.24606015e-06 -0.00054346415 0.999999106 0.00124283356 -5.70624934e-07 -0.00124283403 0.999999225 -0.000709095271 7.5468154 0.00203834823 -0.000583251647 -2.2965281 0.00214460446 0.0202444941 0 0.0114941197 0.762255073 0.784677863 0.777885735 0.769862354 1 0 0 0 0 68 1 1 1 0 0 0 0.00288105546 0 1 0 | 0.999999881 0.000543463044 1.24606015e-06 -0.00054346415 0.999999106 0.00124283356 -5.70624934e-07 -0.00124283403 0.999999225 -0.000709095271 7.5468154 0.00203834823 -0.000545209623 -1.18247581 0.00223016995 -0.0391478352 0 -0.0192527045 0.762255073 0.754324317 0.777885735 0.769862354 2 0 0 0 0 68 1 1 1 0 0 0 0.00369978976 0 1 0
idle_medium 1 26 0.03333333333333333 0 0 0 0 0:0 | 1 -9.82924394e-05 9.55602331e-07 9.82924976e-05 1 -6.20939318e-05 -9.49498997e-07 6.20940264e-05 1 -0.000727268925 7.47406626 0.00211268733 -0.000545209623 -2.18247581 0.00223016995 -0.0391478352 0 -0.0192527045 0.762255073 0.754324317 0.777885735 0.769862354 2 0 0 0 0 68 1 1 1 0 0 0 0.00369978976 0 1 0 | 1 -9.82924394e-05 9.55602331e-07 9.82924976e-05 1 -6.20939318e-05 -9.49498997e-07 6.20940264e-05 1 -0.000727268925 7.47406626 0.00211268733 -0.000461892691 -1.00874543 0.0020969999 -0.0264251959 0 0.0123706246 0.762255073 0.754324317 0.747374535 0.769862354 3 0 0 0 0 68 1 1 1 0 0 0 0.00203436334 0 1 0
idle_medium 1 27 0.03333333333333333 0 0 0 0 0:0 | 0.99999994 0.000314062549 8.60572925e-07 -0.000314061588 0.999999523 -0.000942933664 -1.15671264e-06 0.000942933315 0.999999583 -0.000742665376 7.40710831 0.00218258728 -0.000461892691 -2.00874543 0.0020969999 -0.0264251959 0 0.0123706246 0.762255073 0.754324317 0.747374535 0.769862354 3 0 0 0 0 68 1 1 1 0 0 0 0.00203436334 0 1 0 | 0.99999994 0.000314062549 8.60572925e-07 -0.000314061588 0.999999523 -0.000942933664 -1.15671264e-06 0.000942933315 0.999999583 -0.000742665376 7.40710831 0.00218258728 -0.000433127541 -0.779323637 0.00182881416 0.0339369476 0 -0.0182886664 0.762255073 0.754324317 0.747374535 0.740459442 0 0 0 0 0 68 1 1 1 0 0 0 0.00109396363 0 1 0
idle_medium 1 28 0.03333333333333333 0 0 0 0 0:0 | 0.99999994 -0.00029556072 8.71037855e-07 0.000295560545 0.99999994 0.000188297825 -9.266912e-07 -0.000188297563 1 -0.000757102971 7.34779739 0.0022435477 -0.000433127541 -1.77932358 0.00182881416 0.0339369476 0 -0.0182886664 0.762255073 0.754324317 0.747374535 0.740459442 0 0 0 0 0 68 1 1 1 0 0 0 0.00109396363 0 1 0 | 0.99999994 -0.00029556072 8.71037855e-07 0.000295560545 0.99999994 0.000188297825 -9.266912e-07 -0.000188297563 1 -0.000757102971 7.34779739 0.0022435477 -0.000336360652 -0.509773552 0.00175748265 0.0241149552 0 0.0111805853 0.734682977 0.754324317 0.747374535 0.740459442 1 0 0 0 0 68 1 1 1 0 0 0 0.00185347209 0 1 0
idle_medium 1 29 0.03333333333333333 0 0 0 0 0:0 | 1 7.71248087e-05 7.832449e-07 -7.71255509e-05 0.999999523 0.00099212944 -7.06726723e-07 -0.000992129557 0.999999523 -0.000768314989 7.29747152 0.00230213045 -0.000336360652 -1.50977349 0.00175748265 0.0241149552 0 0.0111805853 0.734682977 0.754324317 0.747374535 0.740459442 1 0 0 0 0 68 1 1 1 0 0 0 0.00185347209 0 1 0 | 1 7.71248087e-05 7.832449e-07 -7.71255509e-05 0.999999523 0.00099212944 -7.06726723e-07 -0.000992129557 0.999999523 -0.000768314989 7.29747152 0.00230213045 -0.000301709631 -0.211066529 0.00180762925 -0.0285459962 0 -0.0151585937 0.734682977 0.729533315 0.747374535 0.740459442 2 0 0 0 0 68 1 1 1 0 0 0 0.00201703398 0 1 0
idle_medium 1 30 0.03333333333333333 0 0 0 0 0:0 | 0.999999881 -0.000428160856 9.50256151e-07 0.000428160798 0.999999881 4.05964674e-05 -9.67637902e-07 -4.05960564e-05 1 -0.000778371992 7.25710249 0.00236238469 -0.000301709631 -1.21106648 0.00180762925 -0.0285459962 0 -0.0151585937 0.734682977 0.729533315 0.747374535 0.740459442 2 0 0 0 0 68 1 1 1 0 0 0 0.00201703398 0 1 0 | 0.999999881 -0.000428160856 9.50256151e-07 0.000428160798 0.999999881 4.05964674e-05 -9.67637902e-07 -4.05960564e-05 1 -0.000778371992 7.25710249 0.00236238469 -0.000192109379 0.098382391 0.00171342236 -0.0222931821 0 0.00850987714 0.734682977 0.729533315 0.725632727 0.740459442 3 0 0 0 0 68 1 1 1 0 0 0 0.00170942862 0 1 0
idle_medium 1 31 0.03333333333333333 0 0 0 0 0:0 | 1 -0.000144497491 1.16302908e-06 0.000144498277 0.999999762 -0.00070250954 -1.06151799e-06 0.000702509657 0.999999762 -0.00078477565 7.2270484 0.00241949875 -0.000192109379 -0.901617587 0.00171342236 -0.0222931821 0 0.00850987714 0.734682977 0.729533315 0.725632727 0.740459442 3 0 0 0 0 68 1 1 1 0 0 0 0.00170942862 0 1 0 | 1 -0.000144497491 1.16302908e-06 0.000144498277 0.999999762 -0.00070250954 -1.06151799e-06 0.000702509657 0.999999762 -0.00078477565 7.2270484 0.00241949875 -0.000140841934 0.408457518 0.00153414754 0.016489042 0 -0.0101885023 0.734682977 0.729533315 0.725632727 0.722593248 0 0 0 0 0 68 1 1 1 0 0 0 0.00182109268 0 1 0
idle_medium 1 32 0.03333333333333333 0 0 0 0 0:0 | 0.999999881 -0.000484114804 9.90275566e-07 0.000484114949 0.999999881 -0.00015287484 -9.16266458e-07 0.000152875306 1 -0.000789470389 7.20733023 0.00247063697 -0.000140841934 -0.591542482 0.00153414754 0.016489042 0 -0.0101885023 0.734682977 0.729533315 0.725632727 0.722593248 0 0 0 0 0 68 1 1 1 0 0 0 0.00182109268 0 1 0 | 0.999999881 -0.000484114804 9.90275566e-07 0.000484114949 0.999999881 -0.00015287484 -9.16266458e-07 0.000152875306 1 -0.000789470389 7.20733023 0.00247063697 -3.18033563e-05 0.706988156 0.00143336866 0.0148118613 0 0.00481557148 0.720666766 0.729533315 0.725632727 0.722593248 1 0 0 0 0 68 1 1 1 0 0 0 0.00154144969 0 1 0
idle_medium 1 33 0.03333333333333333 0 0 0 0 0:0 | 0.99999994 -0.000323596207 7.90880506e-07 0.000323595916 0.999999881 0.000340853818 -9.01179419e-07 -0.000340853556 0.99999994 -0.000790530525 7.19756317 0.00251841592 -3.18033563e-05 -0.293011844 0.00143336866 0.0148118613 0 0.00481557148 0.720666766 0.729533315 0.725632727 0.722593248 1 0 0 0 0 68 1 1 1 0 0 0 0.00154144969 0 1 0 | 0.99999994 -0.000323596207 7.90880506e-07 0.000323595916 0.999999881 0.000340853818 -9.01179419e-07 -0.000340853556 0.99999994 -0.000790530525 7.19756317 0.00251841592 3.58976358e-05 0.983968019 0.00138533162 -0.00576312374 0 -0.00453990279 0.720666766 0.719752908 0.725632727 0.722593248 2 0 0 0 0 68 1 1 1 0 0 0 0.00104994245 0 1 0
